id,title,comprehension_questions,asset_path
7,averytallman,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
8,averytallman,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
27,thelostcows,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
28,thelostcows,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
42,ourfamily,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
43,ourfamily,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
57,someonelikeme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
58,someonelikeme,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
64,averytallman,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
65,averytallman,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
79,thelostcows,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
80,thelostcows,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
93,ourfamily,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
103,someonelikeme,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
114,redball,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
115,redball,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
132,rain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
133,rain,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
146,laughingmum,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
147,laughingmum,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
161,bestfriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
162,bestfriend,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
172,redball,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
187,rain,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
198,laughingmum,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
207,bestfriend,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
221,littlesock,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
222,littlesock,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
236,temboumbrella,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
237,temboumbrella,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
251,dayzoo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
252,dayzoo,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
265,cooktogether,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
266,cooktogether,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
278,littlesock,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
289,temboumbrella,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
298,dayzoo,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
311,cooktogether,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
327,millipedesboots,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
328,millipedesboots,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
341,football,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-football/
342,football,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-football/
357,funwithpaint,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-funwithpaint/
358,funwithpaint,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-funwithpaint/
371,teeth,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-teeth/
372,teeth,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-teeth/
384,millipedesboots,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
394,football,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-football/
405,funwithpaint,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-funwithpaint/
417,teeth,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-teeth/
432,thegame,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thegame/
433,thegame,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thegame/
447,ourclothes,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourclothes/
448,ourclothes,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourclothes/
462,myhome,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myhome/
463,myhome,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myhome/
477,allthethings,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-allthethings/
478,allthethings,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-allthethings/
490,thegame,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thegame/
499,ourclothes,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourclothes/
511,myhome,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myhome/
523,allthethings,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-allthethings/
537,lostshoe,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostshoe/
538,lostshoe,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostshoe/
552,pendocow,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-pendocow/
553,pendocow,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-pendocow/
567,malookaloo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malookaloo/
568,malookaloo,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malookaloo/
582,coloursoftherainbow,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-coloursoftherainbow/
583,coloursoftherainbow,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-coloursoftherainbow/
595,lostshoe,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostshoe/
604,pendocow,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-pendocow/
615,malookaloo,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malookaloo/
628,coloursoftherainbow,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-coloursoftherainbow/
641,liketoread,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-liketoread/
642,liketoread,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-liketoread/
655,manwhosneezedloudly,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manwhosneezedloudly/
656,manwhosneezedloudly,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manwhosneezedloudly/
672,myfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriends/
673,myfriends,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriends/
686,inthemarket,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
687,inthemarket,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
698,liketoread,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-liketoread/
710,manwhosneezedloudly,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manwhosneezedloudly/
722,myfriends,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriends/
732,inthemarket,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
747,ranisfirstday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
748,ranisfirstday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
762,jadavforest,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
763,jadavforest,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
776,verybusyday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
777,verybusyday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
791,favouritefriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-favouritefriend/
792,favouritefriend,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-favouritefriend/
805,ranisfirstday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
813,jadavforest,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
823,verybusyday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
824,verybusyday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
837,favouritefriend,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-favouritefriend/
852,amazingdaisy,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-amazingdaisy/
853,amazingdaisy,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-amazingdaisy/
867,penguinshome,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-penguinshome/
868,penguinshome,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-penguinshome/
882,housemouse,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-housemouse/
883,housemouse,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-housemouse/
897,hippodance,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hippodance/
898,hippodance,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hippodance/
909,amazingdaisy,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-amazingdaisy/
921,penguinshome,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-penguinshome/
932,housemouse,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-housemouse/
943,hippodance,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hippodance/
957,colours,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-colours/
958,colours,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-colours/
972,counttheanimals,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-counttheanimals/
973,counttheanimals,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-counttheanimals/
987,antanddove,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antanddove/
988,antanddove,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antanddove/
1002,lostkey,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostkey/
1003,lostkey,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostkey/
1015,colours,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-colours/
1024,counttheanimals,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-counttheanimals/
1035,antanddove,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antanddove/
1048,lostkey,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lostkey/
1062,notafraid,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-notafraid/
1063,notafraid,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-notafraid/
1077,howantsaveddove,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-howantsaveddove/
1078,howantsaveddove,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-howantsaveddove/
1092,rabbitsears,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rabbitsears/
1093,rabbitsears,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rabbitsears/
1107,busy,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-busy/
1108,busy,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-busy/
1119,notafraid,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-notafraid/
1130,howantsaveddove,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-howantsaveddove/
1140,rabbitsears,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rabbitsears/
1153,busy,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-busy/
1167,lorydory,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lorydory/
1168,lorydory,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lorydory/
1181,magurulegs,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-magurulegs/
1182,magurulegs,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-magurulegs/
1197,mooncap,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mooncap/
1198,mooncap,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mooncap/
1212,dalitsosdream,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dalitsosdream/
1213,dalitsosdream,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dalitsosdream/
1227,lorydory,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-lorydory/
1235,magurulegs,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-magurulegs/
1246,mooncap,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mooncap/
1258,dalitsosdream,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dalitsosdream/
1272,ilovetherain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ilovetherain/
1273,ilovetherain,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ilovetherain/
1287,noproblem,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-noproblem/
1288,noproblem,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-noproblem/
1302,hideandseek,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hideandseek/
1303,hideandseek,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hideandseek/
1317,simonsavestheday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-simonsavestheday/
1318,simonsavestheday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-simonsavestheday/
1329,ilovetherain,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ilovetherain/
1339,noproblem,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-noproblem/
1351,hideandseek,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hideandseek/
1363,simonsavestheday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-simonsavestheday/
1377,fatimasforestfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-fatimasforestfriends/
1378,fatimasforestfriends,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-fatimasforestfriends/
1392,bedtimestories,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bedtimestories/
1393,bedtimestories,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bedtimestories/
1407,theloosetooth,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-theloosetooth/
1408,theloosetooth,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-theloosetooth/
1422,millipedesboots,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
1423,magurulegs,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-magurulegs/
1436,fatimasforestfriends,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-fatimasforestfriends/
1445,bedtimestories,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bedtimestories/
1457,theloosetooth,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-theloosetooth/
1472,drawingmyworld,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-drawingmyworld/
1482,drawingmyworld,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-drawingmyworld/
1485,averytallman,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
1487,inthemarket,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
1496,inthemarket,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
1500,thelostcows,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
1501,averyhotday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averyhotday/
1512,averyhotday,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averyhotday/
1515,ourfamily,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
1516,keepyourpromise,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-keepyourpromise/
1526,keepyourpromise,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-keepyourpromise/
1530,someonelikeme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
1539,averytallman,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averytallman/
1551,thelostcows,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-thelostcows/
1563,ourfamily,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ourfamily/
1575,someonelikeme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-someonelikeme/
1576,windkiteme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-windkiteme/
1586,windkiteme,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-windkiteme/
1590,redball,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
1591,zamaisastar,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-zamaisastar/
1602,zamaisastar,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-zamaisastar/
1605,rain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
1606,hello,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hello/
1617,hello,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-hello/
1620,laughingmum,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
1621,samirbox,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-samirbox/
1632,samirbox,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-samirbox/
1635,bestfriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
1647,redball,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-redball/
1658,rain,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-rain/
1668,laughingmum,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-laughingmum/
1680,bestfriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestfriend/
1681,waitingfortaxi,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-waitingfortaxi/
1692,waitingfortaxi,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-waitingfortaxi/
1695,littlesock,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
1696,annasnewshoes,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-annasnewshoes/
1707,annasnewshoes,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-annasnewshoes/
1710,temboumbrella,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
1711,bustotown,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bustotown/
1722,bustotown,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bustotown/
1725,dayzoo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
1727,mycatrita,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mycatrita/
1737,mycatrita,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mycatrita/
1740,cooktogether,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
1750,littlesock,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlesock/
1761,temboumbrella,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-temboumbrella/
1773,dayzoo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-dayzoo/
1785,cooktogether,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
1786,whatischifundomaking,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whatischifundomaking/
1797,whatischifundomaking,True,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whatischifundomaking/
1800,millipedesboots,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
1801,mojagoesshopping,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mojagoesshopping/
